Name,Section ID Aimsun,2016 volume,OD15 volume,OD30 Volume,Address,Suburb,Latitude,Longitude,Zip,Ports,NumPorts,portsPower,Custom_ports,Cost,Description
Macquarie Park Supercharger,9610;59078,1813.3,2603.34,2078.44,"55-61 Talavera Road, Macquarie Park",North Ryde,-33.7767215,151.1232913,2113,10 Tesla Superchargers,10,150,NA,NA,"You *must* be Westbound on Talavera Road and take the 2nd parking entrance, halfway between the 2 traffic lights and below the logo tower with the shop signs. It's hidden until you're right on it. Follow the signs and black painted lane to Valet Parking. 150 kW, *not* 120 kW."
Eden Gardens,14585,6820.1,7890.73,9122.4,307 Lane Cove Rd,Macquarie Park,-33.780755,151.134347,2113,"2 Tesla Model S / Model Xs, Wall Outlet (3112)",2,3,NA,NA,2 X Tesla HPWC and a 10 amp GPO
ATI Australia,1118597;46487,1519.7,1747.68,2021.22,5/27 Mars Rd,Lane Cove,-33.8102118,151.1442961,2066,Tesla Model S / Model X,1,7.6,32A Tesla S,NA,"Call before coming, business hours only. Solar sourced power."
Lane Cove Market Square Carpark,46487,1042.2,549.16,635.11,28 Burns Bay Road,Lane Cove,-33.8247413,151.1501484,2066,4 Mennekes (Type 2)s,4,22,NA,NA,EO network chargers. 3 hours free parking. Charger is located on entrance level (P2) of Carpark. Parking is under Woolworths and Lane Cove Library. BYO cables.
Gordon Shopping Centre,14251;16931,8266,9468.63,10870.38,802-808 Pacific Hwy,Gordon,-33.7565884,151.1530609,2072,Wall Outlet (3112),1,2.4,NA,NA,"At least one outlet on P1, outdoors, near ramp to lower level"
The Canopy Lane Cove - Basement L2,26632,705.6,810.21,964.47,2 Rosenthal Ave,Lane Cove,-33.8135873,151.1688109,2066,3 Tesla Model S / Model Xs,3,5.2,NA,NA,NA
The Canopy (Birdwood Ln) Car Park,42380,710.6,818.05,907.87,2-24 Birdwood Lane,Lane Cove,-33.813498,151.1695465,2066,3 Mennekes (Type 2)s,3,4.3,NA,NA,"Three Tesla (Type 2) (3 phase, 6 amps, total 18 amps) and three EO (BYO cable Type 2) on parking level P3. Car park just opened, not sure how long you can park for free yet (entry/exit gates not built yet)"
Little Street Carpark,16532,866.7,952.55,1116.34,2 Little St,Lane Cove,-33.8135487,151.1711928,2066,"4 Mennekes (Type 2)s, 2 Three Phase 32As",4,22,NA,NA,4 x EO charging Stations. 2x 3-Phase socket. Locacted on Level 4 Orange. Free parking for 3 hours.
North Shore BMW,51772,3161.32,3596.56,4073.49,676 Pacific Hwy,Chatswood,-33.7991587,151.178533,2067,2 EV Plug (J1772)s,2,6.6,NA,NA,2 x 6.6kW J1772 ChargePoints. Register for free driver access card at: chargepoint.com.au Please notify reception if leaving car here during business hours.
Willoughby Council Car Park,49657;12985,467.6,592.61,720.68,83 Albert Ave,Chatswood,-33.7985645,151.18131,2067,2 Wall Outlet (3112)s,2,3.6,NA,Charge is Free. Parking $11/Day,"Two 15A / 240V / ~15km/h outlets, one per dedicated EV Space. Carpark accessed only when heading east on Albert Ave. Rarely ICE'd"
