Test_Number,Weekend,Station,StationFlow,Direction,Percentage of vehicles passing station that will charge their vehicle,Number of plugs,Plug capacity,Battery size,Hour of the day,(O1) Mean queue length of an EV station [n],(O2) Mean waiting time in queue at an EV station [hours],(O3) Mean service time to charge at an EV station [hours],(O4) Total time spent overall at an EV station [hours],(O5) Total energy consumption of an EV station [kWh],(O6) Maximum recorded queue length of an EV station [n],(O7) Maximum waiting time in queue at an EV station [hours],(O8) Maximum time spent overall at an EV station [hours],(O9) Maximal energy consumption of an EV station [kW],Consumed electricity by hour [kWh],Total waiting time (minutes) by hour,Overall Mean Service time/day
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,18,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,19,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,20,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,22,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
0,0,Macquarie Park Supercharger,1813.3,0,0.01,10,22,82,23,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
1,0,Macquarie Park Supercharger,1813.3,0,0.019999999999999997,10,22,82,17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
